CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Neumünster,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	78,951	78,555	78,072	77,936	77,595	77,100	76,897	76,830	77,201	76,951	77,058	77,588	79,197	79,680	79,335	:
Brandenburg an der Havel,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	75,485	74,875	74,129	73,475	72,954	72,516	72,264	71,778	71,381	71,149	71,032	71,032	71,574	71,664	71,886	:
Gießen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	74,001	73,648	73,690	73,958	74,593	75,140	76,090	77,366	74,776	76,680	77,733	83,280	84,455	86,543	87,343	:
Lüneburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	70,614	71,306	71,842	72,057	72,299	72,492	72,800	72,983	73,581	74,121	71,668	72,546	74,072	74,494	75,192	:
Bayreuth,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	74,818	74,548	73,997	73,503	73,097	72,935	72,576	72,683	71,214	71,482	71,572	71,601	72,148	73,065	73,999	:
Celle,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	71,319	71,536	71,336	71,146	70,930	70,745	70,446	70,242	69,972	69,871	68,508	68,721	69,748	69,561	69,706	:
Aschaffenburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	68,607	68,703	68,642	68,664	68,646	68,747	68,722	68,678	67,470	67,681	67,844	68,167	68,986	69,187	69,928	:
Bamberg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	69,899	70,026	70,081	69,574	69,884	69,989	69,827	70,004	70,712	70,863	71,167	71,952	73,331	75,743	77,179	:
Plauen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	70,070	69,422	68,892	68,430	67,613	66,870	66,412	66,098	64,468	64,218	63,967	64,077	65,201	65,049	65,148	:
Neubrandenburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	69,157	68,451	68,188	67,517	66,735	65,879	65,137	65,282	64,027	63,509	63,437	63,311	63,602	63,794	64,259	:
Fulda,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	63,447	63,782	63,958	63,886	64,097	64,129	64,177	64,349	64,414	64,779	65,036	65,540	67,253	67,466	67,973	:
Kempten (Allgäu),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	61,504	61,576	61,360	61,480	61,703	62,135	62,007	62,060	64,300	64,625	65,044	65,624	66,947	67,529	68,330	:
Landshut,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	60,282	60,545	61,368	61,923	62,629	62,606	62,735	63,258	64,277	65,322	66,179	67,509	69,211	70,025	71,193	:
Sindelfingen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	61,225	61,269	60,843	60,745	60,829	60,648	60,475	60,445	60,452	60,795	61,669	62,215	63,971	64,159	64,599	:
Rosenheim,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	59,988	60,108	60,226	60,394	60,674	60,711	60,877	61,299	59,543	59,935	60,464	60,889	61,844	62,672	63,080	:
Frankenthal (Pfalz),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	47,564	47,516	47,225	46,938	47,090	46,948	46,874	46,793	46,617	47,035	47,332	47,724	48,363	48,445	48,417	:
Stralsund,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	59,140	58,548	58,708	58,288	58,027	57,866	57,778	57,670	56,921	57,357	57,301	57,525	58,041	59,101	59,517	:
Friedrichshafen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	58,041	57,987	58,068	58,271	58,484	58,848	58,726	59,002	57,153	57,333	57,153	58,350	59,108	59,611	60,088	:
Offenburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	58,888	58,810	58,793	58,811	58,993	59,208	59,156	59,215	57,158	57,328	57,448	57,687	58,465	58,736	59,060	:
Görlitz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	58,518	58,154	57,629	57,111	56,724	56,461	55,957	55,596	54,441	54,242	54,042	54,193	55,255	55,904	56,391	:
Sankt Augustin,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	55,926	56,080	56,110	56,216	55,844	55,624	55,524	55,442	54,100	54,109	54,285	54,631	55,709	56,115	55,873	:
Neu-Ulm,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	52,866	52,866	53,034	53,504	53,300	53,888	54,969	55,689	57,237	56,978	57,727	:
Schweinfurt,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	54,601	54,467	54,273	53,970	53,798	53,588	53,533	53,415	52,118	52,098	51,851	51,610	51,969	52,724	53,437	:
Greifswald,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	52,869	52,669	53,281	53,434	53,845	54,131	54,362	54,610	55,949	55,771	56,445	56,685	57,286	57,985	58,886	:
Wetzlar,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	52,684	52,545	52,473	52,269	51,934	51,780	51,497	51,499	50,826	51,063	51,135	51,262	51,649	52,446	52,828	:
Speyer,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	50,247	50,347	50,501	50,648	50,673	49,930	49,811	49,857	49,712	49,764	49,740	49,855	50,284	50,551	50,931	:
Passau,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	50,683	50,537	50,651	50,644	50,741	50,717	50,627	50,594	48,623	49,038	49,454	49,952	50,566	51,074	51,781	:
Dessau-Roßlau,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	94,608	93,397	92,339	91,243	89,934	88,693	87,764	86,906	85,488	84,606	83,616	83,061	82,919	82,505	82,111	:
Duisburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	512,030	508,664	506,496	506,496	504,403	501,564	499,111	496,665	494,048	491,931	489,559	487,470	486,816	486,855	485,465	491,231	499,845	498,110	:
Mannheim,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	308,385	308,759	308,353	308,353	307,499	307,900	307,914	309,795	311,342	311,969	313,174	291,458	294,627	296,690	299,844	305,780	304,781	307,997	:
Gelsenkirchen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	276,740	274,926	272,445	272,445	270,107	268,102	266,772	264,765	262,063	259,744	257,981	257,994	257,607	257,850	257,651	260,368	262,528	260,305	:
Münster,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	267,197	268,945	269,579	269,579	270,038	270,868	272,106	272,951	273,875	275,543	279,803	293,393	296,599	299,708	302,178	310,039	311,846	313,559	:
Chemnitz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	255,798	252,618	249,922	249,922	248,365	246,587	245,700	244,951	243,880	243,089	243,248	240,543	241,210	242,022	243,521	248,645	246,353	246,855	:
Braunschweig,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	245,516	245,392	245,076	245,076	245,872	245,273	245,467	245,810	246,012	247,400	248,867	243,829	245,798	247,227	248,502	251,364	248,667	248,023	:
Aachen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	245,778	247,740	256,605	256,605	257,821	258,208	258,770	259,030	259,269	258,380	258,664	238,665	240,086	241,683	243,336	245,885	244,951	246,272	:
Krefeld,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	239,559	239,183	238,565	238,565	238,270	237,701	237,104	236,516	236,333	235,414	235,076	221,864	222,026	222,058	222,500	225,144	226,812	226,699	:
Oberhausen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	221,619	220,928	220,033	220,033	219,309	218,898	218,181	217,108	215,670	214,024	212,945	210,256	210,005	209,097	209,292	210,934	211,382	211,422	:
Lübeck,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	213,496	213,301	212,754	212,754	211,874	211,825	211,213	211,541	210,892	209,818	210,232	210,679	211,713	212,958	214,420	216,253	216,712	216,318	:
Hagen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	202,060	201,109	200,039	200,039	198,780	196,934	195,671	193,748	192,177	190,121	188,529	187,333	186,243	185,996	186,716	189,044	188,266	187,730	:
Kassel,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	194,748	194,146	194,322	194,322	194,464	194,427	193,518	193,803	194,168	194,774	195,530	191,854	192,874	194,087	194,747	197,984	199,062	200,736	:
Hamm,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	183,805	184,578	184,961	184,961	184,926	184,239	183,672	183,065	182,459	181,741	181,783	176,474	176,440	176,048	176,580	179,397	179,571	179,185	:
Herne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	174,018	173,645	172,870	172,870	171,831	170,992	169,991	168,454	166,924	165,632	164,762	154,887	154,563	154,417	154,608	155,851	156,774	156,490	:
Solingen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	165,032	164,740	164,543	164,543	164,205	163,581	162,948	162,575	161,779	160,992	159,927	155,080	155,316	155,768	156,771	158,726	158,908	158,803	:
Osnabrück,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	164,195	164,561	165,517	165,517	164,489	163,814	163,020	162,870	163,286	163,514	164,119	154,513	155,625	156,315	156,897	162,403	164,070	164,374	:
Ludwigshafen am Rhein,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	162,458	162,436	162,836	162,836	163,383	163,343	163,560	163,777	163,467	163,340	164,351	158,637	160,179	161,518	163,832	164,718	166,621	168,497	:
Leverkusen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	160,829	160,268	161,543	161,543	161,601	161,227	161,336	161,345	161,322	160,593	160,772	159,373	159,926	160,819	161,540	163,487	163,113	163,577	:
Oldenburg (Oldenburg),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	155,908	157,437	158,340	158,340	158,394	158,565	159,060	159,563	160,279	161,334	162,173	157,706	158,658	159,610	160,907	163,830	165,711	167,081	:
Neuss,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	150,957	151,646	152,050	152,050	151,875	151,610	151,626	151,449	151,254	151,280	151,388	151,070	151,486	152,252	152,644	155,414	152,882	153,810	:
Heidelberg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	141,509	142,575	142,959	142,959	143,123	142,993	144,634	145,311	145,642	146,466	147,312	148,415	150,335	152,113	154,715	156,267	159,914	160,601	:
Paderborn,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	140,869	141,534	141,800	141,800	142,979	143,769	144,258	144,181	144,811	145,320	146,283	143,174	143,575	143,659	145,176	148,126	148,677	149,075	:
Würzburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	129,915	131,582	132,687	132,687	133,539	133,906	134,913	135,212	133,501	133,195	133,799	124,449	124,577	124,698	124,219	124,873	126,010	126,635	:
Recklinghausen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	124,587	123,905	123,144	123,144	122,627	121,827	121,521	120,536	120,059	119,050	118,365	115,648	115,385	115,320	114,147	114,330	114,003	113,360	:
Wolfsburg,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	121,887	122,331	122,724	122,724	122,148	121,199	120,493	120,009	120,538	121,109	121,451	120,889	121,758	122,457	123,027	124,045	123,909	123,914	:
Bremerhaven,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	118,701	119,111	118,276	118,276	117,281	116,615	116,045	115,313	114,506	114,031	113,366	108,139	108,323	108,844	110,121	114,025	113,034	113,026	:
Bottrop,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	120,780	120,758	120,324	120,324	119,910	119,356	118,975	118,597	117,756	117,241	116,771	117,074	116,498	116,055	116,017	117,143	117,409	117,364	:
Heilbronn,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	120,163	120,683	120,705	120,705	121,320	121,613	121,384	121,627	122,098	122,415	122,879	116,716	117,531	118,122	119,841	122,567	123,771	125,113	:
Remscheid,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	118,753	118,339	117,717	117,717	116,827	115,864	114,925	113,935	112,679	111,422	110,563	110,132	109,352	108,955	109,009	109,499	110,611	110,584	:
Offenbach am Main,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	118,429	119,233	119,208	119,208	119,527	119,430	117,564	118,245	118,977	118,770	120,435	114,855	116,945	119,203	120,988	123,734	124,589	126,658	:
Ulm,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	118,347	119,155	119,807	119,807	120,107	120,625	120,925	121,434	121,648	122,087	122,801	117,541	117,977	119,218	120,714	122,636	123,953	125,596	:
Pforzheim,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	118,002	118,785	119,046	119,046	118,847	119,021	119,156	119,423	119,839	119,788	119,781	115,211	116,425	117,754	119,291	122,247	123,493	124,289	:
Ingolstadt,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	117,311	118,416	119,528	119,528	120,157	121,314	122,167	123,055	123,925	124,387	125,088	126,076	127,886	129,136	131,002	132,438	133,639	135,244	:
Gera,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	109,926	108,082	106,365	106,365	105,153	103,948	102,733	101,618	100,643	99,987	99,262	95,746	95,384	94,977	94,492	96,011	94,750	94,859	:
Salzgitter,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	111,696	110,817	109,855	109,855	108,763	107,726	106,665	105,320	104,423	103,446	102,394	98,588	98,095	98,197	98,966	101,079	103,668	104,548	:
Reutlingen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	110,650	:	112,097	112,346	112,346	112,229	112,252	112,431	112,458	112,176	112,132	112,484	110,084	110,681	111,357	112,452	114,310	115,006	115,762	:
Fürth,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	111,257	111,784	111,892	111,892	112,506	113,422	113,627	114,130	114,071	114,044	114,628	116,640	118,358	119,808	121,519	124,171	125,403	126,526	:
Cottbus,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	105,954	103,847	107,549	107,549	106,415	105,309	103,837	102,811	101,785	101,671	102,091	99,974	99,913	99,595	99,491	99,687	100,416	101,036	:
Siegen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	108,397	108,334	107,768	107,768	106,745	106,293	105,697	105,049	104,419	103,984	103,424	99,230	99,261	99,403	100,325	102,355	101,863	102,337	:
Bergisch Gladbach,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	105,569	105,925	106,053	106,053	105,896	105,761	105,587	105,840	105,901	105,699	105,723	109,026	109,138	109,425	109,697	111,366	111,341	111,627	:
Hildesheim,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	103,717	103,448	103,245	103,245	102,937	102,575	103,249	103,593	103,288	102,903	102,794	102,584	102,487	99,979	99,979	101,667	101,687	101,744	:
Witten,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	103,158	102,432	101,823	101,823	101,181	100,793	100,248	99,598	99,126	98,601	98,233	96,221	96,136	95,629	95,907	96,700	96,781	96,565	:
Zwickau,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	101,726	100,892	99,846	99,846	98,742	97,832	96,786	95,841	94,887	94,340	93,750	93,081	92,227	91,564	91,066	91,123	90,515	90,192	:
Erlangen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	101,912	102,198	102,449	102,449	102,578	103,197	103,753	104,650	104,980	105,554	105,629	104,312	105,412	105,624	106,423	108,336	110,238	110,998	:
Wuppertal,Population on the 1st of January, total	:	:	388,102	:	:	383,776	379,820	379,820	376,693	372,218	366,434	364,784	363,522	362,137	362,137	361,077	359,237	358,330	356,420	353,308	351,050	349,721	342,570	342,885	343,488	345,425	350,046	352,390	353,590	:
Jena,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	102,634	102,442	102,532	102,494	102,752	103,392	104,449	105,129	106,428	106,915	107,679	108,207	109,527	110,321	111,099	:
Düren, Stadt,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	90,244	90,066	90,502	:
Bocholt, Stadt,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	71,443	71,350	71,036	:
Estonia,Population on the 1st of January, total	:	1,567,749 e	1,554,878 e	1,511,303 e	1,476,952 e	1,448,075 e	1,425,192 e	1,405,996 e	1,393,074 e	1,379,237 e	1,370,052	1,366,959 e	1,361,242 e	1,356,045 e	1,351,069 e	1,378,048	1,366,532	1,361,525	1,363,310	1,364,112	1,365,275	1,294,455	1,325,217 b	1,320,174	1,315,819	1,313,271	1,315,944 b	1,315,635	1,319,133	:
Tallinn,Population on the 1st of January, total	479,666 e	476,591 e	470,299 e	449,688 e	438,346 e	429,563 e	421,249 e	413,851 e	408,238 e	404,091 e	400,378	399,685 e	398,434 e	397,150 e	392,306	401,646	398,635	399,141	401,389	403,930	406,665	393,222	403,862 b	406,059	411,063	413,782	423,420 b	426,538	430,805	:
Tartu,Population on the 1st of January, total	114,242 e	114,046 e	113,238 e	108,795 e	105,863 e	104,874 e	103,356 e	101,750 e	100,705 e	100,201 e	101,169	101,207 e	101,140 e	101,190 e	100,482	100,909	99,206	98,248	98,706	98,475	98,387	97,600	99,558 b	99,518	98,449	97,332	93,687 b	93,124	96,506 b	:
Narva,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	65,495	58,663	60,454 b	59,888	59,049	58,375	58,204 b	57,130	56,103	:
Ireland,Population on the 1st of January, total	:	:	:	:	:	:	3,442,845	3,652,177	3,693,999	3,734,901 e	3,776,577 ep	:	3,744,059	:	3,905,907	:	:	:	:	:	:	4,570,881 e	:	:	:	:	:	:	:	:
Dublin,Population on the 1st of January, total	:	:	:	:	:	:	450,254	:	:	:	:	:	467,788	:	471,841	473,867	475,893	:	:	:	:	516,255 e	:	:	:	:	:	:	:	:
Dublin (greater city),Population on the 1st of January, total	:	:	:	:	:	:	1,058,300	1,072,200	1,081,400	1,086,100	1,097,300	1,108,200	1,122,800	1,133,200	1,144,800	1,160,600	1,183,400	1,231,200	1,252,700	1,258,500	1,259,600	1,261,500 e	1,262,900	1,262,400 e	1,274,600	1,305,300	1,325,700	:	:	:
Cork,Population on the 1st of January, total	:	:	:	:	:	:	120,107	:	:	:	:	:	115,773	:	114,304	113,569	112,834	:	:	:	:	118,713 e	:	:	:	:	:	:	:	:
Limerick,Population on the 1st of January, total	:	:	:	:	:	:	48,615	:	:	:	:	:	50,972	:	50,481	50,236	49,990	:	:	:	:	56,980 e	:	:	:	:	:	:	:	:
Galway,Population on the 1st of January, total	:	:	:	:	:	:	51,816	:	:	:	:	:	58,256	:	61,663	63,368	65,070	:	:	:	:	73,963 e	:	:	:	:	:	:	:	:
Waterford,Population on the 1st of January, total	:	:	:	:	:	:	39,997	:	:	:	:	:	41,795	:	42,528	42,894	43,260	:	:	:	:	46,583 e	:	:	:	:	:	:	:	:
Greece,Population on the 1st of January, total	:	10,200,104	10,294,472	10,465,534	10,553,032	10,634,391	10,465,059	10,486,595	10,834,910	10,521,669	10,554,404	:	:	:	11,144,866 e	11,187,364 e	11,229,876 e	11,276,876 e	11,319,316 e	11,366,372 e	:	10,816,286	:	:	:	:	:	:	:	:
Athina,Population on the 1st of January, total	:	772,072	:	:	:	:	780,572 e	:	:	:	:	789,166	:	:	796,442 e	797,775 e	798,216 e	799,097 e	799,686 e	799,979 e	:	664,046	:	:	:	:	:	:	:	:
Athina (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	2,884,338 e	2,907,194 e	2,926,976 e	2,948,553 e	2,969,219 e	2,989,023 e	:	2,641,511	:	2,622,404 e	:	:	:	:	:	:
Thessaloniki,Population on the 1st of January, total	:	383,967	:	:	:	:	384,686 e	:	:	:	:	385,406	:	:	386,627 e	382,857 e	380,989 e	379,351 e	377,542 e	376,047 e	:	315,196	:	:	:	:	:	:	:	:
Pátra,Population on the 1st of January, total	:	155,697	:	:	:	:	163,463 e	:	:	:	:	171,616	:	:	177,607 e	179,502 e	181,294 e	183,146 e	184,962 e	187,086 e	:	170,896	:	:	:	:	:	:	:	:
Irakleio,Population on the 1st of January, total	:	120,417	:	:	:	:	130,816 e	:	:	:	:	142,112	:	:	150,352 e	151,261 e	152,367 e	153,535 e	154,812 e	156,315 e	:	151,324	:	:	:	:	:	:	:	:
Larisa,Population on the 1st of January, total	:	114,334	:	:	:	:	123,212 e	:	:	:	:	132,779	:	:	139,043 e	140,046 e	140,805 e	141,624 e	142,316 e	143,148 e	:	146,926	:	:	:	:	:	:	:	:
Volos,Population on the 1st of January, total	:	77,192	:	:	:	:	81,002 e	:	:	:	:	85,001	:	:	87,208 e	87,036 e	87,025 e	87,076 e	87,009 e	87,059 e	:	86,046	:	:	:	:	:	:	:	:
Ioannina,Population on the 1st of January, total	:	63,725	:	:	:	:	69,386 e	:	:	:	:	75,550	:	:	79,731 e	80,861 e	83,130 e	85,519 e	87,855 e	90,270 e	:	80,371	:	:	:	:	:	:	:	:
Kavala,Population on the 1st of January, total	:	60,187	:	:	:	:	61,856 e	:	:	:	:	63,572	:	:	64,971 e	65,177 e	65,183 e	65,201 e	65,229 e	65,372 e	:	58,790	:	:	:	:	:	:	:	:
Kalamata,Population on the 1st of January, total	:	50,260	:	:	:	:	55,539 e	:	:	:	:	61,373	:	:	66,103 e	66,628 e	67,227 e	67,981 e	68,895 e	70,018 e	:	62,409	:	:	:	:	:	:	:	:
Spain,Population on the 1st of January, total	:	38,872,268	38,965,077	39,056,587	39,135,618	39,196,779	39,669,394	:	39,852,651	40,202,158 e	40,499,791	40,847,371	41,837,894 e	42,717,064	43,197,684	44,108,530	44,708,964	45,200,737	46,157,822	:	47,021,031	46,815,916	47,265,321	47,129,783	46,771,341	46,449,565	46,445,828	46,527,039	46,658,447	:
